ID,rodata,data,hora,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,arrecadacao,id_mandante,id_visitante
29,4,2003-04-16,20:30,,,,,-, Orlando Scarpelli,1,1,SC,PR,0.0,31,15
30,4,2003-04-16,20:30,,,,,-, Moisés Lucarelli,1,1,SP,SC,0.0,44,14
31,4,2003-04-16,21:40,,,,,-, Anacleto Campanella,1,1,SP,RJ,0.0,1,41
32,4,2003-04-16,21:40,,,,,-, São Januário,2,2,RJ,SP,0.0,12,8
33,4,2003-04-16,21:40,,,,,Cruzeiro, Couto Pereira,3,4,PR,MG,0.0,11,30
34,4,2003-04-17,20:30,,,,,Fluminense, Maracanã,3,1,RJ,RS,0.0,9,10
35,4,2003-04-17,20:30,,,,,Sao Paulo, Morumbi,3,1,SP,CE,0.0,2,32
36,4,2003-04-17,20:30,,,,,Parana, Pinheirão,3,1,PR,GO,0.0,39,16
144,12,2003-04-18,20:30,,,,,Flamengo, Maracanã,3,0,RJ,MG,0.0,41,30
49,5,2003-04-19,16:00,,,,,Atletico-MG, Fonte Nova,2,4,BA,MG,0.0,37,35
50,5,2003-04-19,16:00,,,,,-, Anacleto Campanella,1,1,SP,RS,0.0,1,6
51,5,2003-04-19,18:00,,,,,Santos, Maracanã,0,2,RJ,SP,0.0,41,28
52,5,2003-04-20,16:00,,,,,Sao Paulo, Morumbi,3,1,SP,RJ,0.0,2,12
53,5,2003-04-20,16:00,,,,,Internacional, Beira Rio,2,1,RS,SP,0.0,10,8
54,5,2003-04-20,16:00,,,,,Criciuma, Heriberto Hulse,1,0,SC,SP,0.0,14,40
55,5,2003-04-20,16:00,,,,,-, Alfredo Jaconi,1,1,RS,BA,0.0,25,21
56,5,2003-04-20,16:00,,,,,Fortaleza, Presidente Vargas,1,0,CE,PR,0.0,32,15
57,5,2003-04-20,16:00,,,,,-, Moisés Lucarelli,4,4,SP,PA,0.0,44,23
58,5,2003-04-20,18:00,,,,,Cruzeiro, Mineirão,4,1,MG,GO,0.0,30,16
59,5,2003-04-20,18:00,,,,,-, Maracanã,0,0,RJ,PR,0.0,9,39
60,5,2003-04-21,20:30,,,,,Coritiba, Couto Pereira,1,0,PR,SC,0.0,11,31
61,6,2003-04-26,16:00,,,,,Coritiba, Mineirão,1,2,MG,PR,0.0,35,11
62,6,2003-04-26,16:00,,,,,Parana, Pinheirão,3,1,PR,BA,0.0,39,37
63,6,2003-04-26,16:00,,,,,Internacional, Barradão,0,3,BA,RS,0.0,21,10
64,6,2003-04-26,18:00,,,,,-, Brinco de Ouro,1,1,SP,MG,0.0,40,30
65,6,2003-04-27,16:00,,,,,-, Pacaembu,1,1,SP,RJ,0.0,8,41
66,6,2003-04-27,16:00,,,,,Goias, Serra Dourada,7,0,GO,RS,0.0,16,25
67,6,2003-04-27,16:00,,,,,-, Orlando Scarpelli,0,0,SC,SP,0.0,31,44
68,6,2003-04-27,16:00,,,,,Santos, Vila Belmiro,4,0,SP,CE,0.0,28,32
69,6,2003-04-27,16:00,,,,,Fluminense, Olímpico,0,1,RS,RJ,0.0,6,9
70,6,2003-04-27,16:00,,,,,Athletico-PR, Arena da Baixada,4,2,PR,SC,0.0,15,14
71,6,2003-04-27,18:00,,,,,Paysandu, Mangueirão,5,2,PA,SP,0.0,23,2
72,6,2003-04-27,18:00,,,,,Vasco, São Januário,1,0,RJ,SP,0.0,12,1
